place_id,name,lat,lng,address,rating,user_ratings_total,types
ChIJ____D-xC4zoRfaBWnHvPov8,Cargills Food City,7.3654715,80.6042434,Bamunupola,,,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJs1my62A94zoRqQef26QHeRg,Cargills Food City Express - Polgahawela,7.336713800000001,80.30060139999999,"Colombo Road, Ambepussa - Kurunegala - Trincomalee Hwy, Polgahawela",4.1,343.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJT7nS4WZp4zoRPwbzuesg9G4,Cargills Food City Nugawela,7.327371599999999,80.5950278,"Kurunegala road, Nugawela",4.6,85.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJVQUbV_A74zoROr-RZmeR9jg,Cargils Food City Express - Piduruwella,7.467707799999999,80.3040391,"Piduruwella Clock Tower, B27, Kurunegala",4.2,78.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJT1HY9x454zoR19UpFzrmQMI,Cargills Food City - Mawathagama,7.4357292,80.4410364,"CCMQ+CGG, Mawathagama",4.4,200.0,"grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJ_f54q0Y64zoRMDm1pU1W2Jk,Cargills Food City Express Malkaduwawa,7.477780699999999,80.33834019999999,"F8HQ+48G, Kurunegala",4.1,226.0,"grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJI42LKgA74zoRDBshGISX1Xo,Cargills Express Foodcity,7.4220457,80.32937179999999,"C8CH+RP9, Pothuhera",4.3,18.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJ8cfFGfyX5DoRAUongPoQVak,Cargills Food City - Mahiyanganaya,7.3410752,80.9935645,"NO.113, Tile Factory Rd, Mahiyanaganaya",4.2,603.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJq8S0fJxd4zoR7Kx72Gofs2A,Cargills Food City Express - Wattegama,7.3520072,80.6825173,"No. 31, Matale Rd, Wattegama",4.1,191.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJWWluR5cz5ToRY9LmJGVZFbg,"Cargills Food City, Manchanthoduwai",7.688470999999999,81.72393439999999,"No. 488, New Kalmunai Road, Manchanthoduwaii, (Kathankudy) Kallady",4.1,402.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJz9a3Eg0z5ToRU5HpP7BUYjo,Cargills Food City Express - Arayampathy,7.6739802,81.7328763,"71A Main St, East",4.4,39.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJ8ZA5CAA55ToR1ZpoXSeP27k,Cargills Food city - Kaluwanchikudy,7.5204698,81.7881123,"Main Street, Kaluwanchikudy",4.7,15.0,"grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJT5A8E_gV5ToRO6jo2Z9LI3Y,Cargills Food City Express - Nintavur,7.3543776,81.8438204,"9R3V+PGP, Nintavur",4.4,47.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJkdMLe4oV5ToR729Ntxn13z8,Cargills Food City Samanthurai,7.3633211,81.7977421,"9Q8W+5H9, Karativu-Ampara Hwy, Sammanthurai",4.1,237.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJ1Q2kgq8_5ToRZXytE3E49zM,Cargills Food City - Kalmunai,7.4138036,81.8272638,"Main St, Sainthamaruthu",4.0,396.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJ4WWEcAA_5ToRv7f677OCR-w,Cargills Food City Kalmunai,7.398427900000001,81.8327796,"9RXM+94F, Kalmunai",4.0,1.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJW3SdJ7o_5ToRYmK7c6U8NLU,S.F.A SUPER MARKET,7.390351899999999,81.83539929999999,"502, Main Street Sainthamaruthu -16, Sainthamaruthu",3.7,31.0,"grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJOaGu_AwW_ToRgD4nlY5Zp0I,Cargills Food City - Puttalam,8.027273899999999,79.83770559999999,"97B Katugastota-Kurunegala, Puttalam Hwy, Puttalam",4.0,442.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJ2466c9A5_ToRPa48LVtycRs,Cargills Food City,7.9102384,79.82352589999999,"101 Welusumanapura Rd, Madurankuli",4.2,79.0,"grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJn8l4Z-dr_ToRibdGWt5AZ-c,Cargills Food City - Express Norochcholai,8.048975,79.7373125,"2PXP+HWP, Kalpitiya Rd, Norochcholai",4.2,135.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
