place_id,user_ratings_total,types,district,num_ratings,_merge,name,lat,lng,address,rating
ChIJg4o-m0la4joR8i_l-DoabM4,,,Colombo,792.0,right_only,Cargills Food City - Nugegoda 1,6.875580599999999,79.88087139999999,"240 A4, Nugegoda 00500, Sri Lanka",4.0
ChIJgXbqge194zoRPIjjAQnAXfw,126.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City express Rikillagaskada,7.1451977,80.7852707,"54 Dimbulkumbura Road, Rikillagaskada",4.3
ChIJg_XqIqpW_joR-zeHHgs0_qM,1812.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",Jaffna,1812.0,both,Cargills Food City - Jaffna,9.6651744,80.0138527,"No 420 Hospital Rd, Jaffna",4.3
ChIJgeqvz5Ba4joRVcilfsWSX7A,294.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City Express - Pirivena Junction,6.841719500000001,79.9065257,"No: 567,Pirivena Junction, Maharagama Rd, Boralesgamuwa",4.2
ChIJhRor4-ai5ToRqwybsVJcQS8,440.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",,,left_only,Cargills Food City - Pottuvil,6.875396299999999,81.8299428,"Kaleej, Front Building, Main Street, Pottuvil",4.1
ChIJhSbuyuAb4zoRzv3ivq-2-qU,395.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",,,left_only,Cargills Food City Express - Ambepussa,7.239090399999999,80.2080106,"365 Colombo Road, Ambepussa",4.0
ChIJhVc3p7tz4ToRblNf47szSss,746.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",Galle,746.0,both,Cargills Food City - Galle 2,6.0351835,80.21712269999999,"10/8 Wakwella Rd, Galle",4.2
ChIJhWXm0XKb4zoRPdCr4z5aTXQ,404.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City and pharmacy - Hatton,6.892834499999999,80.5973033,"171 Dimbulla Rd, Hatton",3.9
ChIJhyQgLABP4ToRnw7u8Sh_KPA,43.0,"grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City - Hakmana,6.082768199999999,80.6470113,"3JMW+4Q9, Hakmana",4.3
ChIJi82IBABx4zoRT4Bb1dDb87Y,5.0,"grocery_or_supermarket,store,point_of_interest,food,establishment",,,left_only,Cargills Food City - Gampola 2,7.164911300000001,80.5747497,"36 Illawatura Rd, Gampola",4.8
ChIJiRbBqdJb4joRORUunwDrZWc,437.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",Colombo,437.0,both,Cargills Food City - Jaya Road,6.886556199999999,79.8549986,"No. 34, Jaya Road, Colombo - 04 Colombo - 04, Colombo",4.0
ChIJiT8s3Q1Z4joRnvIio39F2jc,496.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",Colombo,496.0,both,Cargills Food City Express - Deans Road,6.924589099999999,79.8649143,"No: 153 Abeygoonaratne Mawatha, Colombo",3.9
ChIJiUUG1xAP4zoR05cbz44pUUQ,56.0,"grocery_or_supermarket,store,point_of_interest,food,establishment",,,left_only,Cargills Food City Express Bulathkohupitiya,7.1031936,80.3351818,"NO 67A Avissawella Rd, Bulathkohupitiya",4.4
ChIJiw-FYgLE4joR9IdZRXGrJ54,296.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City - Marawila,7.4157972,79.830433,"65 Chilaw - Colombo Main Rd, Marawila",4.0
ChIJj-51LADl4joRL8tJXTNiitM,3.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",,,left_only,Cargills Foodcity Express - Dunagaha,7.2312398,79.973236,"6XJF+F7W, No 79 - C Negombo - Mirigama Rd, Dunagaha",5.0
ChIJj1U0Qdxp4zoRNw_mBN_9y_A,250.0,"grocery_or_supermarket,store,food,point_of_interest,establishment",,,left_only,Cargills Food City Express - Aladeniya,7.3316449,80.5699376,"8HJ9+MX3, Katugastota-Kurunegala-Puttalam Hwy, Aladeniya",4.0
ChIJj6uByz384joRUNYYAKRr1dw,,,Gampaha,537.0,right_only,Cargills Food City - Yakkala 1,7.0866386,80.0336808,"Sanasa Building, No. 99, Yakkala Park, Kandy - Colombo Rd, Yakkala, Sri Lanka",4.0
ChIJjTg29ChF4zoRfzSqhtcysqA,267.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",Matale,267.0,both,Cargills Food City Express,7.470932800000001,80.62324199999999,"No. 1, 15 Rose St, Matale",4.0
ChIJjYx4ugvv4joRqNzPCMr3oRA,451.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",,,left_only,Cargills Food City - Kurana,7.178387599999999,79.8620433,"1, 3701 M 1 L, 677 Negombo Rd, Katunayake",4.3
ChIJjbc7dh3D4joRStsOkrYmAiE,268.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City - Wennappuwa 2,7.3338437,79.84440529999999,"8RMV+GQJ, Wennappuwa",4.2
ChIJjz-GaKpa4joRidt2kqu-1v4,821.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City,6.818419899999999,79.9180511,"No. 201/1A, Bokundara Bokundara",4.0
ChIJjzzXWEBJ4joRZ83_RjJbxoI,521.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City - Bandaragama 01,6.7133726,79.9880845,"A8, Bandaragama",4.0
ChIJk-g_iG9T_joRTn5z8bxdGEA,242.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City - Manipay,9.7231876,79.99749729999999,"120 Jaffna-Manipay-Karainagar Rd, Manipay",4.1
ChIJk1rS_Bfk4joR1A8EI_-Llmk,196.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",,,left_only,Cargills Food City Express - Marandagahamula,7.2296321,79.9866422,"89 Negombo - Mirigama Rd, Marandagahamula",4.0
ChIJkSR1qbFF4joRI5XQZ_zSRWA,536.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City - Borupana,6.813337199999999,79.8889825,"No. 69/1 Borupana Rd, Colombo",4.1
ChIJkTzKy4f94joRFNqWTW0czv4,,,Gampaha,151.0,right_only,Cargills Food City - Yakkala 2,7.0884726,80.02907549999999,"No : 12, Madugaswalawwa, Ja Ela-Ekala-Gampaha-Yakkala Hwy, Yakkala, Sri Lanka",4.2
ChIJkUvgp2VT4joR6GO-4uJEkPo,500.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",,,left_only,Cargills Foodcity Meepe,6.8585927,80.09093179999999,"S, Padukka",4.2
ChIJk_SnIYYu4joRKJ8MkeGP2H4,810.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City - Aluthgama 1,6.4333354,79.9977837,"303 Main Street, Aluthgama",4.0
ChIJk_fqOBzZ4joR5pOkfFv-Cnk,350.0,"grocery_or_supermarket,store,food,point_of_interest,establishment",,,left_only,Cargills Food City - Kuliyapitiya 2,7.4687036,80.0341414,"F29M+FMJ, Kuliyapitiya",4.4
ChIJkcNh0OL34joR_vCmhQ-N90k,221.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",,,left_only,Cargills Food City Express - Hunupitiya,6.9845561,79.9019146,"No 58, Diulapitiya Road, Wattala",3.9
ChIJkdMLe4oV5ToR729Ntxn13z8,237.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",,,left_only,Cargills Food City Samanthurai,7.3633211,81.7977421,"9Q8W+5H9, Karativu-Ampara Hwy, Sammanthurai",4.1
ChIJkxz_OUVQ4joRQe5nijgkoRc,407.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City Express Pannipitiya,6.8467217,79.95118529999999,"Pannipitiya Old Rd, Pannipitiya",4.0
ChIJlSOhr15l5DoR9_E8-xuny9k,408.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City - Bandarawela 3,6.8414476,81.004211,"R2R3+MQ2, B51, Bandarawela",4.2
ChIJl_oVjzxt4ToRa0wHelLMxTg,421.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",,,left_only,Cargills Food City (Express) - Habaraduwa,5.993628999999999,80.3069106,"Dassana Building, Galle Road, Habaraduwa",4.0
ChIJla661Whv4zoRvEu4u86E7GQ,229.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",,,left_only,Cargills Food city Express - Galaha Road,7.243984299999999,80.598511,"Peradeniya-Deltota-Rikiligaskada Rd, Hindagala",4.1
ChIJlyO9gGBE-zoRNCUYddMtyHQ,534.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",Polonnaruwa,534.0,both,Cargills Food City - Kaduruwela,7.928211999999998,81.0342228,"No. 896, Maradankadawala-Habarana-Thirukkondaiadimadu Hwy",4.1
ChIJm2U37phV_joRTlvjYhg2-Tc,16.0,"grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Foodcity-Kopay,9.7046332,80.06955839999999,"P339+RMM, Jaffna",4.3
ChIJmQimBtFb4joRAr4i8SWMYkM,267.0,"supermarket,shopping_mall,grocery_or_supermarket,store,point_of_interest,food,establishment",Colombo,267.0,both,Cargills Food City - Thimbirigasyaya,6.8909943,79.8665037,"90 Thimbirigasyaya Rd, Colombo",3.6
ChIJm_PKBWSp4zoReq5Xqfxt1T4,165.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",,,left_only,Cargills Food City - Avissawella 2,6.9470148,80.1986618,"No: 240A, Colombo Road, Kiriwandala, Avissawella",4.3
ChIJmaUcqHxb4joR-EYJoF0zsus,125.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",Galle,125.0,both,Cargills Food City - Mt. Lavinia 02,6.844351,79.8660256,"158, Galle Road, Dehiwala-Mount Lavinia, Colombo",4.2
ChIJmbRNlw5Z4joRWrbxH7KAteY,962.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",Colombo,962.0,both,Cargills Food City - Maradana,6.9257675,79.86711849999999,"585 Maradana Rd, Colombo",3.9
ChIJn85NYYFZ4joRZZXAHl1TWbU,,,Colombo,81.0,right_only,Cargills Food City - Trillium Residencies,6.9038765,79.8781826,"153 Elvitigala Mawatha, Colombo 00800, Sri Lanka",4.1
